TOPIC: (privacy AND student)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, BKCI-S, BKCI-SSH, ESCI, CCR-EXPANDED, IC.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Social Media and Professionalism for Healthcare Professionals","Fox, Michael J.; Savage, Benjamin J.; Vannahme, Milena","","","Bernadas, C; Minchella, D","PROCEEDINGS OF THE 3RD EUROPEAN CONFERENCE ON SOCIAL MEDIA","2016","2016","","","","","","83","90","","","3rd European Conference on Social Media (ECSM)","JUL 12-13, 2016","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Students' Digital Footprints: Curation of Online Presences, Privacy and Peer Support","Osborne, Nicola; Connelly, Louise","","","Bernadas, C; Minchella, D","PROCEEDINGS OF THE 3RD EUROPEAN CONFERENCE ON SOCIAL MEDIA","2016","2016","","","","","","283","290","","","3rd European Conference on Social Media (ECSM)","JUL 12-13, 2016","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Biometric Belt and Braces for Authentication in Distance Education","Wiklund, Mats; Mozelius, Peter; Westin, Thomas; Norberg, Lena","","","Novotna, J; Jancarik, A","PROCEEDINGS OF THE 15TH EUROPEAN CONFERENCE ON E-LEARNING (ECEL 2016)","2016","2016","","","","","","702","708","","","15th European Conference on E-Learning (ECEL)","OCT 27-28, 2016","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Based on ZigBee Security Management System Firmware Analysis and Design","Leng, Yang","","","Lee, G","2016 5TH INTERNATIONAL CONFERENCE ON EDUCATION AND EDUCATION MANAGEMENT (EEM 2016)","2016","2016","92","","","","","319","322","","","5th International Conference on Education and Education Management (EEM 2016)","DEC 24-25, 2016","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Study on Influence of WeChat Moments in University Students' Ideological and Political Education and Strategies","Zhang, Yingnan","","","Kao, J; Sung, WP","PROCEEDINGS OF THE 2016 INTERNATIONAL CONFERENCE ON ADVANCES IN MANAGEMENT, ARTS AND HUMANITIES SCIENCE (AMAHS 2016)","2016","2016","63","","","","","511","515","","","International Conference on Advances in Management, Arts and Humanities Science (AMAHS)","DEC 10-11, 2016","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Building Smart Campus Using Human Behavioral Data","Sun, Guangzhong; Zhou, Yinghua; Li, Jing","","","ElBaz, D; Bourgeois, J","2016 INT IEEE CONFERENCES ON UBIQUITOUS INTELLIGENCE & COMPUTING, ADVANCED & TRUSTED COMPUTING, SCALABLE COMPUTING AND COMMUNICATIONS, CLOUD AND BIG DATA COMPUTING, INTERNET OF PEOPLE, AND SMART WORLD CONGRESS (UIC/ATC/SCALCOM/CBDCOM/IOP/SMARTWORLD)","2016","2016","","","","","","133","136","","10.1109/UIC-ATC-ScalCom-CBDCom-IoP-SmartWorld.2016.84","13th IEEE Int Conf on Ubiquitous Intelligence and Comp/13th IEEE Int Conf on Adv and Trusted Comp/16th IEEE Int Conf on Scalable Comp and Commun/IEEE Int Conf on Cloud and Big Data Comp/IEEE Int Conf on Internet of People/IEEE Smart World Congress","JUL 18-21, 2016","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Acceptance of SMS Marketing: Evidence from Tanzania University Students","Jinyevu, Salimu Abushiri; Cheng Yanxia","","","Yusof, R; Kaminishi, K; Aimin, W","PROCEEDINGS OF THE 13TH INTERNATIONAL CONFERENCE ON INNOVATION AND MANAGEMENT, VOLS I & II","2016","2016","","","","","","703","707","","","13th International Conference on Innovation and Management (ICIM 2016)","NOV 28-30, 2016","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Learning Tracking Data Analysis How Privacy Issues Affect Student Perception on e-Learning?","May, Madeth; Iksal, Sebastien; Usener, Claus Alexander","","","Uhomoibhi, J; Costagliola, G; Zvacek, S; McLaren, BM","PROCEEDINGS OF THE 8TH INTERNATIONAL CONFERENCE ON COMPUTER SUPPORTED EDUCATION, VOL 1 (CSEDU)","2016","2016","","","","","","154","161","","10.5220/0005810801540161","8th International Conference on Computer Supported Education (CSEDU)","APR 21-23, 2016","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PERCEPTIONS AND USE OF COMMUNITY-AND SCHOOL-BASED BEHAVIORAL HEALTH SERVICES AMONG URBAN AMERICAN INDIAN/ALASKA NATIVE YOUTH AND FAMILIES","Salvador, Julie; Goodkind, Jessica; Ewing, Sarah Feldstein","","","","AMERICAN INDIAN AND ALASKA NATIVE MENTAL HEALTH RESEARCH","2016","2016","23","3","","","","221","247","","","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Peer Grading Exams with Video Rubrics","Lupoli, Shawn","","","","2016 IEEE FRONTIERS IN EDUCATION CONFERENCE (FIE)","2016","2016","","","","","","","","","","IEEE Frontiers in Education Conference (FIE)","OCT 12-15, 2016","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
