TOPIC: (privacy AND student)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, BKCI-S, BKCI-SSH, ESCI, CCR-EXPANDED, IC.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"FACEBOOK AND EDUCATION: A CLASSROOM CONNECTION?","Towner, Terri L.; Munoz, Caroline Lego","","","Wankel, C","EDUCATING EDUCATORS WITH SOCIAL MEDIA","2011","2011","1","","","","","33","57","","10.1108/S2044-9968(2011)0000001005","","","28","2.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","4","7","3","4","4","0","0"
"The Effects of a Social Media Policy on Pharmacy Students' Facebook Security Settings","Williams, Jennifer; Feild, Carinda; James, Kristina","","","","AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION","2011","2011","75","9","","","","","","177","10.5688/ajpe759177","","","28","2.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","6","4","3","5","1","2","2","1"
"Comparison of paper-and-pencil versus Web administration of the Youth Risk Behavior Survey (YRBS): Participation, data quality, and perceived privacy and anonymity","Denniston, Maxine M.; Brener, Nancy D.; Kann, Laura; Eaton, Danice K.; McManus, Timothy; Kyle, Tonja M.; Roberts, Alice M.; Flint, Katherine H.; Ross, James G.","","","","COMPUTERS IN HUMAN BEHAVIOR","SEP 2010","2010","26","5","","","","1054","1060","","10.1016/j.chb.2010.03.006","","","28","2.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","3","5","2","5","1","3","2","1","1"
"Territoriality - Seat preferences in different types of classroom arrangements","Kaya, Naz; Burgess, Brigitte","","","","ENVIRONMENT AND BEHAVIOR","NOV 2007","2007","39","6","","","","859","876","","10.1177/0013916506298798","","","28","1.87","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","4","3","1","2","1","2","4","4","3","0"
"Surveillance cameras in schools: An ethical analysis","Warnick, Bryan R.","","","","HARVARD EDUCATIONAL REVIEW","FAL 2007","2007","77","3","","","","317","343","","10.17763/haer.77.3.r2k76507rrjw8238","","","28","1.87","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","1","3","2","4","2","6","3","1","2"
"Cyberloafing and social desirability bias among students and employees","Akbulut, Yavuz; Donmez, Onur; Dursun, Ozcan Ozgur","","","","COMPUTERS IN HUMAN BEHAVIOR","JUL 2017","2017","72","","","","","87","95","","10.1016/j.chb.2017.02.043","","","29","5.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","7","12","4"
"SMART GRID TESTBED FOR DEMAND FOCUSED ENERGY MANAGEMENT IN END USER ENVIRONMENTS","Tushar, Wayes; Yuen, Chau; Chai, Bo; Huang, Shisheng; Wood, Kristin L.; Kerk, See Gim; Yang, Zaiyue","","","","IEEE WIRELESS COMMUNICATIONS","DEC 2016","2016","23","6","","","","70","80","","10.1109/MWC.2016.1400377RP","","","29","4.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","11","7","8","1"
"Social media in health professional education: a student perspective on user levels and prospective applications","Maloney, Stephen; Moss, Alan; Ilic, Dragan","","","","ADVANCES IN HEALTH SCIENCES EDUCATION","DEC 2014","2014","19","5","","","","687","697","","10.1007/s10459-014-9495-7","","","29","3.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","4","4","5","5","4","1"
"Testing the Effects of Social Norms and Behavioral Privacy on Hand Washing: A Field Experiment","Lapinski, Maria Knight; Maloney, Erin K.; Braz, Mary; Shulman, Hillary C.","","","","HUMAN COMMUNICATION RESEARCH","JAN 2013","2013","39","1","","","","21","46","","10.1111/j.1468-2958.2012.01441.x","","","29","3.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","1","5","3","7","7","1"
"Traces of self: online reflective practices and performances in higher education","Ross, Jen","","","","TEACHING IN HIGHER EDUCATION","2011","2011","16","1","","","","113","126","PII 932475624","10.1080/13562517.2011.530753","","","29","2.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","5","3","3","2","3","2","2","2","1"
